	drug1	drug2	mode	fraction1	fraction2
0	Ciprofloxacin	Tobramycin	snps	0.36682535705337005	0.05986365573072006
1	Ciprofloxacin	Tobramycin	gpa_snps	0.22647156634519452	0.10553350455288348
2	Ciprofloxacin	Tobramycin	gpa_expr_snps	0.09510357815442563	0.09891031014249792
3	Ciprofloxacin	Tobramycin	gpa_expr	0.1146355036171397	0.10660173160173161
4	Ciprofloxacin	Tobramycin	gpa	0.17073170731707318	0.43653516295025735
5	Ciprofloxacin	Tobramycin	expr_snps	0.05978260869565218	0.12622149837133553
6	Ciprofloxacin	Meropenem	snps	0.36682535705337005	0.356353591160221
7	Ciprofloxacin	Meropenem	gpa_snps	0.09710675091453275	0.04519650655021835
8	Ciprofloxacin	Meropenem	gpa_expr_snps	0.08757062146892658	0.006823351023502653
9	Ciprofloxacin	Meropenem	gpa_expr	0.03116304952698943	0.22573007103393844
10	Ciprofloxacin	Meropenem	gpa	0.17073170731707316	0.21997538245120452
11	Ciprofloxacin	Meropenem	expr_snps	0.47010869565217395	0.04711779448621554
12	Ciprofloxacin	Ceftazidim	snps	0.08895013781007266	0.15709156193895868
13	Ciprofloxacin	Ceftazidim	gpa_snps	0.09710675091453275	0.050187265917602995
14	Ciprofloxacin	Ceftazidim	gpa_expr_snps	0.08757062146892658	0.08211920529801323
15	Ciprofloxacin	Ceftazidim	gpa_expr	0.11129660545353368	0.472772277227723
16	Ciprofloxacin	Ceftazidim	gpa	0.15222876366694701	0.15980148883374692
17	Ciprofloxacin	Ceftazidim	expr_snps	0.052989130434782615	0.13850415512465372
18	Tobramycin	Meropenem	snps	0.05986365573072006	0.356353591160221
19	Tobramycin	Meropenem	gpa_snps	0.026149894933457853	0.04519650655021835
20	Tobramycin	Meropenem	gpa_expr_snps	0.0025146689019279133	0.006823351023502653
21	Tobramycin	Meropenem	gpa_expr	0.0	0.0
22	Tobramycin	Meropenem	gpa	0.24185248713550606	0.028837700017583966
23	Tobramycin	Meropenem	expr_snps	0.050488599348534204	0.045112781954887216
24	Tobramycin	Ceftazidim	snps	0.07562846186621218	0.23877917414721722
25	Tobramycin	Ceftazidim	gpa_snps	0.11884193322437543	0.10674157303370783
26	Tobramycin	Ceftazidim	gpa_expr_snps	0.09974853310980722	0.20927152317880796
27	Tobramycin	Ceftazidim	gpa_expr	0.14718614718614717	0.17161716171617167
28	Tobramycin	Ceftazidim	gpa	0.26415094339622647	0.24367245657568243
29	Tobramycin	Ceftazidim	expr_snps	0.10423452768729642	0.18836565096952906
30	Meropenem	Ceftazidim	snps	0.12154696132596685	0.2010771992818671
31	Meropenem	Ceftazidim	gpa_snps	0.2825327510917031	0.09513108614232209
32	Meropenem	Ceftazidim	gpa_expr_snps	0.006823351023502653	0.08211920529801323
33	Meropenem	Ceftazidim	gpa_expr	0.0	0.0
34	Meropenem	Ceftazidim	gpa	0.22103042025672587	0.19652605459057076
35	Meropenem	Ceftazidim	expr_snps	0.045112781954887216	0.13850415512465372
36	Meropenem	Ceftazidim	expr	0.040574282147315864	0.032835820895522394
