measure	mode	drug	c_param
F1-score_macro	expr	Ceftazidim	0.025
F1-score_macro	expr_snps	Ceftazidim	0.01
F1-score_macro	gpa	Ceftazidim	0.04
F1-score_macro	gpa_expr	Ceftazidim	0.015
F1-score_macro	gpa_expr_snps	Ceftazidim	0.01
F1-score_macro	gpa_snps	Ceftazidim	0.04
F1-score_macro	snps	Ceftazidim	0.025
F1-score_macro	expr	Ciprofloxacin	0.02
F1-score_macro	expr_snps	Ciprofloxacin	0.02
F1-score_macro	gpa	Ciprofloxacin	0.04
F1-score_macro	gpa_expr	Ciprofloxacin	0.02
F1-score_macro	gpa_expr_snps	Ciprofloxacin	0.015
F1-score_macro	gpa_snps	Ciprofloxacin	0.05
F1-score_macro	snps	Ciprofloxacin	0.07
F1-score_macro	expr	Meropenem	0.025
F1-score_macro	expr_snps	Meropenem	0.025
F1-score_macro	gpa	Meropenem	0.1
F1-score_macro	gpa_expr	Meropenem	0.04
F1-score_macro	gpa_expr_snps	Meropenem	0.15
F1-score_macro	gpa_snps	Meropenem	0.07
F1-score_macro	snps	Meropenem	0.02
F1-score_macro	expr	Tobramycin	0.085
F1-score_macro	expr_snps	Tobramycin	0.015
F1-score_macro	gpa	Tobramycin	0.04
F1-score_macro	gpa_expr	Tobramycin	0.03
F1-score_macro	gpa_expr_snps	Tobramycin	0.015
F1-score_macro	gpa_snps	Tobramycin	0.07
F1-score_macro	snps	Tobramycin	0.07
