cv_mode	drug	mode	measure	mean	std
block_cv	CAZ	expr	F1-score_macro	0.01	0.79
block_cv	CAZ	expr	neg_recall	0.02	0.81
block_cv	CAZ	expr	npv	0.01	0.78
block_cv	CAZ	expr	pos_recall	0.02	0.76
block_cv	CAZ	expr	precision	0.02	0.80
block_cv	CAZ	expr_snps	F1-score_macro	0.01	0.75
block_cv	CAZ	expr_snps	neg_recall	0.03	0.86
block_cv	CAZ	expr_snps	npv	0.01	0.71
block_cv	CAZ	expr_snps	pos_recall	0.02	0.64
block_cv	CAZ	expr_snps	precision	0.03	0.82
block_cv	CAZ	gpa	F1-score_macro	0.03	0.62
block_cv	CAZ	gpa	neg_recall	0.03	0.78
block_cv	CAZ	gpa	npv	0.02	0.60
block_cv	CAZ	gpa	pos_recall	0.06	0.47
block_cv	CAZ	gpa	precision	0.02	0.68
block_cv	CAZ	gpa_expr	F1-score_macro	0.01	0.79
block_cv	CAZ	gpa_expr	neg_recall	0.01	0.90
block_cv	CAZ	gpa_expr	npv	0.01	0.74
block_cv	CAZ	gpa_expr	pos_recall	0.01	0.69
block_cv	CAZ	gpa_expr	precision	0.01	0.87
block_cv	CAZ	gpa_expr_snps	F1-score_macro	0.02	0.77
block_cv	CAZ	gpa_expr_snps	neg_recall	0.02	0.90
block_cv	CAZ	gpa_expr_snps	npv	0.02	0.72
block_cv	CAZ	gpa_expr_snps	pos_recall	0.03	0.65
block_cv	CAZ	gpa_expr_snps	precision	0.02	0.86
block_cv	CAZ	gpa_snps	F1-score_macro	0.04	0.58
block_cv	CAZ	gpa_snps	neg_recall	0.03	0.70
block_cv	CAZ	gpa_snps	npv	0.04	0.58
block_cv	CAZ	gpa_snps	pos_recall	0.09	0.47
block_cv	CAZ	gpa_snps	precision	0.03	0.60
block_cv	CAZ	snps	F1-score_macro	0.05	0.61
block_cv	CAZ	snps	neg_recall	0.02	0.69
block_cv	CAZ	snps	npv	0.04	0.60
block_cv	CAZ	snps	pos_recall	0.09	0.54
block_cv	CAZ	snps	precision	0.04	0.63
block_cv	CIP	expr	F1-score_macro	0.02	0.74
block_cv	CIP	expr	neg_recall	0.02	0.84
block_cv	CIP	expr	npv	0.02	0.66
block_cv	CIP	expr	pos_recall	0.03	0.65
block_cv	CIP	expr	precision	0.02	0.84
block_cv	CIP	expr_snps	F1-score_macro	0.00	0.88
block_cv	CIP	expr_snps	neg_recall	0.00	0.84
block_cv	CIP	expr_snps	npv	0.01	0.89
block_cv	CIP	expr_snps	pos_recall	0.01	0.92
block_cv	CIP	expr_snps	precision	0.00	0.88
block_cv	CIP	gpa	F1-score_macro	0.02	0.66
block_cv	CIP	gpa	neg_recall	0.05	0.75
block_cv	CIP	gpa	npv	0.02	0.60
block_cv	CIP	gpa	pos_recall	0.04	0.59
block_cv	CIP	gpa	precision	0.04	0.75
block_cv	CIP	gpa_expr	F1-score_macro	0.02	0.71
block_cv	CIP	gpa_expr	neg_recall	0.03	0.78
block_cv	CIP	gpa_expr	npv	0.03	0.65
block_cv	CIP	gpa_expr	pos_recall	0.03	0.65
block_cv	CIP	gpa_expr	precision	0.02	0.79
block_cv	CIP	gpa_expr_snps	F1-score_macro	0.01	0.88
block_cv	CIP	gpa_expr_snps	neg_recall	0.00	0.84
block_cv	CIP	gpa_expr_snps	npv	0.01	0.89
block_cv	CIP	gpa_expr_snps	pos_recall	0.01	0.92
block_cv	CIP	gpa_expr_snps	precision	0.00	0.87
block_cv	CIP	gpa_snps	F1-score_macro	0.00	0.87
